DRXFDCD,DRXFCLD
11710807.0,"Toddler formula, Nido Kinder"
11710810.0,"Toddler formula, store brand, beginning or next stage"
11710815.0,"Toddler formula, store brand, pediatric shake"
11710905.0,"Infant formula, Gerber, NFS"
11710911.0,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed"
11710917.0,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water"
11710918.0,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water"
11710919.0,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water"
11710921.0,"Infant formula, Gerber Good Start Gentle, Stage 2"
11710930.0,"Toddler formula, Gerber Good Start, Stage 3"
11710935.0,"Infant formula, premature, powder, made with water"
11710945.0,"Infant formula, premature, ready-to-feed"
11710954.0,"Infant formula, organic, powder, made with water"
11710955.0,"Infant formula, organic, ready-to-feed"
11710967.0,"Infant formula, store brand, advantage or tender, powder, made with tap water"
11710968.0,"Infant formula, store brand, advantage or tender, powder, made with bottled water"
11710969.0,"Infant formula, store brand, advantage or tender, powder, made with baby water"
11710970.0,"Infant formula, store brand, gentle or sensitivity"
11710980.0,"Infant formula, store brand, added rice"
11720311.0,"Infant formula, Enfamil ProSobee, ready-to-feed"
11720317.0,"Infant formula, Enfamil ProSobee, powder, made with tap water"
11720318.0,"Infant formula, Enfamil ProSobee, powder, made with bottled water"
11720319.0,"Infant formula, Enfamil ProSobee, powder, made with baby water"
11720411.0,"Infant formula, Similac Isomil Soy, ready-to-feed"
11720417.0,"Infant formula, Similac Isomil Soy, powder, made with tap water"
11720418.0,"Infant formula, Similac Isomil Soy, powder, made with bottled water"
11720419.0,"Infant formula, Similac Isomil Soy, powder, made with baby water"
11720430.0,"Infant formula, Similac for Diarrhea"
11720611.0,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed"
11720617.0,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water"
11720618.0,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water"
11720619.0,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water"
11720809.0,"Infant formula, store brand, soy"
11740311.0,"Infant formula, Enfamil Nutramigen, ready-to-feed"
11740313.0,"Infant formula, Enfamil Nutramigen, powder, made with water"
11740401.0,"Infant formula, Enfamil Pregestimil, ready-to-feed"
11740403.0,"Infant formula, Enfamil Pregestimil, powder, made with water"
11740405.0,"Infant formula, amino acids"
11740560.0,"Infant formula, low iron"
11810000.0,"Milk, dry, not reconstituted"
11825000.0,"Whey, sweet, dry"
11830150.0,"Cocoa powder, not reconstituted"
11830160.0,"Chocolate beverage powder, dry mix, not reconstituted"
11830165.0,"Chocolate beverage powder, light, dry mix, not reconstituted"
11830260.0,"Milk, malted, dry mix, not reconstituted"
11830400.0,"Strawberry beverage powder, dry mix, not reconstituted"
12100100.0,"Cream, NS as to light, heavy, or half and half"
12110100.0,"Cream, light"
12120100.0,"Cream, half and half"
12120106.0,"Cream, half and half, flavored"
12120110.0,"Cream, half and half, fat free"
12130100.0,"Cream, heavy"
12140000.0,"Cream, whipped"
12200100.0,"Coffee creamer, NFS"
12210200.0,"Coffee creamer, liquid"
12210210.0,"Coffee creamer, liquid, flavored"
12210260.0,"Coffee creamer, liquid, fat free"
12210270.0,"Coffee creamer, liquid, fat free, flavored"
12210280.0,"Coffee creamer, liquid, fat free, sugar free, flavored"
12210310.0,"Coffee creamer, liquid, sugar free, flavored"
12210400.0,"Coffee creamer, powder"
12210420.0,"Coffee creamer, powder, flavored"
12210430.0,"Coffee creamer, powder, fat free"
12210505.0,"Coffee creamer,powder, sugar free, flavored"
12210520.0,"Coffee creamer, soy, liquid"
12220200.0,Whipped topping
12220270.0,"Whipped topping, fat free"
12220280.0,"Whipped topping, sugar free"
12310100.0,"Sour cream, regular"
12310350.0,"Sour cream, light"
12310370.0,"Sour cream, fat free"
12320100.0,"Sour cream, imitation"
12350010.0,"Dip, NFS"
12350200.0,"Chipotle dip, regular"
12350205.0,"Chipotle dip, light"
12350220.0,"Onion dip, regular"
12350225.0,"Onion dip, light"
12350230.0,"Ranch dip, regular"
12350235.0,"Ranch dip, light"
12350240.0,"Spinach dip, regular"
12350245.0,"Spinach dip, light"
12350250.0,"Vegetable dip, regular"
12350255.0,"Vegetable dip, light"
13110000.0,"Ice cream, NFS"
13110100.0,"Ice cream, vanilla"
13110102.0,"Ice cream, vanilla, with additional ingredients"
13110110.0,"Ice cream, chocolate"
13110112.0,"Ice cream, chocolate, with additional ingredients"
13110200.0,"Ice cream, soft serve, vanilla"
13110210.0,"Ice cream, soft serve, chocolate"
13110460.0,"Gelato, vanilla"
13110470.0,"Gelato, chocolate"
13120050.0,"Ice cream bar, vanilla"
13120100.0,"Ice cream bar, vanilla, chocolate coated"
13120110.0,Ice cream candy bar
13120140.0,"Ice cream bar, chocolate"
13120500.0,"Ice cream sandwich, vanilla"
13120510.0,"Ice cream sandwich, chocolate"
13120550.0,Ice cream cookie sandwich
13120730.0,"Ice cream cone, scooped, vanilla"
13120735.0,"Ice cream cone, scooped, vanilla, waffle cone"
13120740.0,"Ice cream cone, NFS"
13120770.0,"Ice cream cone, scooped, chocolate"
13120775.0,"Ice cream cone, scooped, chocolate, waffle cone"
13120782.0,"Ice cream cone, soft serve, vanilla"
13120784.0,"Ice cream cone, soft serve, chocolate"
13120786.0,"Ice cream cone, soft serve, vanilla, waffle cone"
13120788.0,"Ice cream cone, soft serve, chocolate, waffle cone"
13120790.0,"Ice cream cone, vanilla, prepackaged"
13120792.0,"Ice cream cone, chocolate, prepackaged"
13120800.0,"Ice cream soda, flavors other than chocolate"
13120810.0,"Ice cream soda, chocolate"
13121000.0,"Ice cream sundae, NFS"
13121100.0,"Ice cream sundae, fruit topping"
13121120.0,Banana split
13121300.0,"Ice cream sundae, hot fudge topping"
13121400.0,"Ice cream sundae, caramel topping"
13126000.0,"Ice cream, fried"
13130100.0,"Light ice cream, NFS"
13130300.0,"Light ice cream, vanilla"
13130310.0,"Light ice cream, chocolate"
13130700.0,"Soft serve, blended with candy or cookies, from fast food"
13135000.0,"Light ice cream sandwich, vanilla"
13135010.0,"Light ice cream sandwich, chocolate"
13140000.0,"Light ice cream bar, vanilla"
13140100.0,"Light ice cream bar, vanilla, chocolate coated"
13140115.0,"Light ice cream bar, chocolate"
13140700.0,Creamsicle
13140900.0,Fudgesicle
13142100.0,"Light ice cream cone, vanilla, prepackaged"
13142110.0,"Light ice cream cone, chocolate, prepackaged"
13150000.0,"Sherbet, all flavors"
13161600.0,"Fudgesicle, light"
13200110.0,"Pudding, chocolate, NFS"
13210110.0,"Pudding, bread"
13210280.0,"Pudding, flavors other than chocolate, NFS"
13210300.0,Custard
13210350.0,Flan
13210370.0,Creme brulee
13210410.0,"Pudding, rice"
13210450.0,"Firni, Indian pudding"
13210520.0,"Pudding, tapioca, made from dry mix"
13220110.0,"Pudding, flavors other than chocolate, made from dry mix"
13220120.0,"Pudding, chocolate, made from dry mix"
13220210.0,"Pudding, flavors other than chocolate, made from dry mix, sugar free"
13220220.0,"Pudding, chocolate, made from dry mix, sugar free"
13230110.0,"Pudding, flavors other than chocolate, ready-to-eat"
13230120.0,"Pudding, flavors other than chocolate, ready-to-eat, sugar free"
13230130.0,"Pudding, chocolate, ready-to-eat"
13230140.0,"Pudding, chocolate, ready-to-eat, sugar free"
13230500.0,"Pudding, tapioca, ready-to-eat"
13241000.0,Banana pudding
13250000.0,Mousse
13252200.0,Dulce de leche
13252500.0,"Barfi or Burfi, Indian dessert"
13252590.0,Trifle
13252600.0,Tiramisu
13411000.0,White sauce or gravy
14010000.0,"Cheese, NFS"
14101010.0,"Cheese, Blue or Roquefort"
14102010.0,"Cheese, Brick"
14103010.0,"Cheese, Camembert"
14103020.0,"Cheese, Brie"
14104100.0,"Cheese, Cheddar"
14104110.0,"Cheese, Cheddar, reduced fat"
14104115.0,"Cheese, Cheddar, nonfat or fat free"
14104200.0,"Cheese, Colby"
14104250.0,"Cheese, Colby Jack"
14104400.0,"Cheese, Feta"
14104600.0,"Cheese, Fontina"
14104700.0,"Cheese, goat"
14105010.0,"Cheese, Gouda or Edam"
14105200.0,"Cheese, Gruyere"
14106010.0,"Cheese, Limburger"
14106200.0,"Cheese, Monterey"
14106500.0,"Cheese, Monterey, reduced fat"
14107010.0,"Cheese, Mozzarella, NFS"
14107030.0,"Cheese, Mozzarella, part skim"
14107040.0,"Cheese, Mozzarella, reduced sodium"
14107060.0,"Cheese, Mozzarella, nonfat or fat free"
14107200.0,"Cheese, Muenster"
14107250.0,"Cheese, Muenster, reduced fat"
14108010.0,"Cheese, Parmesan, dry grated"
14108015.0,"Cheese, Parmesan, dry grated, reduced fat"
14108020.0,"Cheese, Parmesan, hard"
14108060.0,"Cheese, Parmesan, dry grated, fat free"
14108200.0,"Cheese, Port du Salut"
14108400.0,"Cheese, Provolone"
14108420.0,"Cheese, provolone, reduced fat"
14109010.0,"Cheese, Swiss"
14109020.0,"Cheese, Swiss, reduced sodium"
14109030.0,"Cheese, Swiss, reduced fat"
14109040.0,"Cheese, Swiss, nonfat or fat free"
14110010.0,"Cheese, Cheddar, reduced sodium"
14110050.0,"Cheese, paneer"
14120010.0,"Cheese, Mexican blend"
14120020.0,"Cheese, Mexican blend, reduced fat"
14131000.0,"Queso Anejo, aged Mexican cheese"
14131500.0,Queso Asadero
14133000.0,Queso Fresco
14134000.0,Queso cotija
14200100.0,"Cheese, cottage, NFS"
14201010.0,"Cheese, cottage, creamed, large or small curd"
14201200.0,"Cottage cheese, farmer's"
14201500.0,"Cheese, Ricotta"
14202010.0,"Cheese, cottage, with fruit"
14202020.0,"Cheese, cottage, with vegetables"
14203010.0,"Cheese, cottage, dry curd"
14203020.0,"Cheese, cottage, salted, dry curd"
14203510.0,Puerto Rican white cheese
14204010.0,"Cheese, cottage, low fat"
14204020.0,"Cheese, cottage, lowfat, with fruit"
14206010.0,"Cheese, cottage, lowfat, low sodium"
14207010.0,"Cheese, cottage, lowfat, lactose reduced"
14301010.0,"Cream cheese, regular, plain"
14301100.0,"Cream cheese, regular, flavored"
14303010.0,"Cream cheese, light"
14410100.0,"Cheese, American and Swiss blends"
14410110.0,"Cheese, American"
14410120.0,"Cheese, American, reduced fat"
14410130.0,"Cheese, American, nonfat or fat free"
14410210.0,"Cheese, American, reduced sodium"
14410330.0,"Cheese spread, American or Cheddar cheese base, reduced fat"
14410380.0,"Cream cheese, fat free"
14410500.0,"Cheese, processed cheese food"
14410600.0,"Cheese, processed, with vegetables"
14410620.0,"Cheese,  with wine"
14420100.0,"Cheese spread, American or Cheddar cheese base"
14420160.0,"Cheese spread, Swiss cheese base"
14420200.0,"Cheese spread, cream cheese"
14420300.0,"Cheese spread, pressurized can"
14502000.0,Imitation cheese
14610200.0,"Cheese, cottage cheese, with gelatin dessert"
14610210.0,"Cheese, cottage cheese, with gelatin dessert and fruit"
14610250.0,"Cheese, cottage cheese, with gelatin dessert and vegetables"
14610520.0,Cheese ball
14620110.0,Artichoke dip
14620115.0,Spinach and artichoke dip
14620130.0,Seafood dip
14620150.0,Cheese dip with chili pepper
14620200.0,Cheese dip
14620300.0,Topping from cheese pizza
14620310.0,Topping from vegetable pizza
14620320.0,Topping from meat pizza
14620330.0,Topping from meat and vegetable pizza
14630100.0,Cheese fondue
14630200.0,Cheese souffle
14630300.0,Welsh rarebit
14640000.0,"Cheese sandwich, NFS"
14640002.0,"Cheese sandwich, American cheese, on white bread"
14640004.0,"Cheese sandwich, American cheese, on wheat bread"
14640008.0,"Cheese sandwich, cheddar cheese, on white bread"
14640010.0,"Cheese sandwich, cheddar cheese, on wheat bread"
14640014.0,"Cheese sandwich, reduced fat cheese, on white bread"
14640016.0,"Cheese sandwich, reduced fat cheese, on wheat bread"
14640100.0,"Grilled cheese sandwich, NFS"
14640105.0,"Grilled cheese sandwich, American cheese, on white bread"
14640110.0,"Grilled cheese sandwich, American cheese, on wheat bread"
14640125.0,"Grilled cheese sandwich, cheddar cheese, on white bread"
14640130.0,"Grilled cheese sandwich, cheddar cheese, on wheat bread"
14640155.0,"Grilled cheese sandwich, reduced fat cheese, on white bread"
14640160.0,"Grilled cheese sandwich, reduced fat cheese, on wheat bread"
14650100.0,Cheese sauce
14650160.0,Alfredo sauce
14650165.0,Alfredo sauce with added vegetables
14650170.0,Alfredo sauce with meat
14650175.0,Alfredo sauce with meat and added vegetables
14650180.0,Alfredo sauce with poultry
14650185.0,Alfredo sauce with poultry and added vegetables
14650190.0,Alfredo sauce with seafood
14650195.0,Alfredo sauce with seafood and added vegetables
14660200.0,"Mozzarella sticks, breaded, baked, or fried"
14670000.0,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing"
20000000.0,"Meat, NFS"
20000200.0,"Meat, ground, NFS"
20000300.0,"Baby Toddler meat, NFS"
21000100.0,"Beef, NFS"
21001000.0,"Steak, NS as to type of meat, NS as to fat eaten"
21101000.0,"Beef, steak, NFS"
21101140.0,"Beef, steak, chuck"
21101150.0,"Beef, steak, cube"
21101160.0,"Beef, steak, flank"
21101170.0,"Beef, steak, ribeye, NS as to fat eaten"
21101180.0,"Beef, steak, ribeye, lean and fat eaten"
21101190.0,"Beef, steak, ribeye, lean only eaten"
21102140.0,"Beef, steak, round"
21102150.0,"Beef, steak, sirloin, NS as to fat eaten"
21102160.0,"Beef, steak, sirloin, lean and fat eaten"
21102170.0,"Beef, steak, sirloin, lean only eaten"
21102180.0,"Beef, steak, strip, NS as to fat eaten"
21102190.0,"Beef, steak, strip, lean and fat eaten"
21103140.0,"Beef, steak, strip, lean only eaten"
21103150.0,"Beef, steak, T-bone, NS as to fat eaten"
21103160.0,"Beef, steak, T-bone,  lean and fat eaten"
21103170.0,"Beef, steak, T-bone, lean only eaten"
21103180.0,"Beef, steak, tenderloin"
21104110.0,"Beef, steak, country fried"
21301000.0,"Beef, oxtails"
21302000.0,"Beef, neck bones"
21304200.0,"Beef, shortribs"
21305000.0,"Beef, cow head"
21401000.0,"Beef, roast"
21407000.0,"Beef, pot roast"
21410000.0,"Beef, stew meat"
21416000.0,"Beef, corned"
21417100.0,"Beef, brisket"
21420100.0,"Beef, sandwich steak"
21500000.0,"Beef, ground, raw"
21500100.0,"Beef, ground"
21500310.0,"Beef, ground, patty"
21601000.0,"Beef, bacon, cooked"
21601010.0,"Beef, bacon, reduced sodium, cooked"
21602000.0,"Beef, dried, chipped, uncooked"
21602010.0,"Beef, dried, chipped, cooked in fat"
21602100.0,Beef jerky
21701010.0,Baby Toddler beef
22000100.0,"Pork, NFS"
22002000.0,"Pork, ground"
22002050.0,"Pork, carnitas"
22002800.0,Pork jerky
22101000.0,"Pork, chop, NS as to fat eaten"
22101010.0,"Pork, chop, lean and fat eaten"
22101020.0,"Pork, chop, lean only eaten"
22101300.0,"Pork, chop, coated, NS as to fat eaten"
22101310.0,"Pork, chop, coated, lean and fat eaten"
22101320.0,"Pork, chop, coated, lean only eaten"
22101330.0,"Pork, chop, stuffed"
22201100.0,"Pork, steak, NS as to fat eaten"
22201110.0,"Pork, steak, lean and fat eaten"
22201120.0,"Pork, steak, lean only eaten"
22201400.0,"Pork, steak, coated"
22210300.0,"Pork, tenderloin"
22311000.0,Ham
22311450.0,"Ham, prosciutto"
22311500.0,"Ham, canned"
22321110.0,"Ham, ground"
22400100.0,"Pork, roast"
22431000.0,"Pork, roll"
22501010.0,"Canadian bacon, cooked"
22600100.0,"Bacon, NS as to type of meat, cooked"
22600110.0,"Bacon, NS as to type of meat, reduced sodium, cooked"
22600200.0,"Pork bacon, NS as to fresh, smoked or cured, cooked"
22600210.0,"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked"
22601000.0,"Pork bacon, smoked or cured, cooked"
22601040.0,"Bacon or side pork, fresh, cooked"
22602010.0,"Pork bacon, smoked or cured, reduced sodium, cooked"
22621100.0,"Fat back, cooked"
22700000.0,"Ribs, NFS"
22701000.0,"Pork, ribs"
22704010.0,"Pork, cracklings"
22705010.0,"Pork, ears"
22706010.0,"Pork, bones"
22707010.0,"Pork, pig's feet"
22707020.0,"Pork, pig's feet, pickled"
22708010.0,"Pork, ham hocks"
22708020.0,"Pork, belly"
22709010.0,Pork skin rinds
22810010.0,Baby Toddler ham
22820000.0,Baby Toddler meat stick
23000100.0,"Lamb, NS as to cut"
23101000.0,"Lamb, chop"
23132000.0,"Lamb, ground"
23150100.0,Goat
23201010.0,"Veal, chop"
23220010.0,"Veal, ground"
23220020.0,Mock chicken legs
23310000.0,Rabbit
23321000.0,"Venison, NFS"
23321200.0,"Venison, steak"
23321900.0,Venison/deer jerky
23322100.0,Venison sausage
23323100.0,Moose
23323500.0,Bear
23324100.0,Caribou
23326100.0,Bison
23331100.0,Groundhog
23332100.0,Opossum
23333100.0,Squirrel
23334100.0,Beaver
23335100.0,Raccoon
23340100.0,Armadillo
23345100.0,Wild pig
23350100.0,Ostrich
24100000.0,"Chicken, NS as to part and cooking method, NS as to skin eaten"
24100010.0,"Chicken, NS as to part and cooking method, skin eaten"
24100020.0,"Chicken, NS as to part and cooking method, skin not eaten"
24102000.0,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten"
24102010.0,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten"
24102020.0,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten"
24102050.0,"Chicken, NS as to part, rotisserie, NS as to skin eaten"
24102060.0,"Chicken, NS as to part, rotisserie, skin eaten"
24102070.0,"Chicken, NS as to part, rotisserie, skin not eaten"
24103000.0,"Chicken, NS as to part, stewed, NS as to skin eaten"
24103010.0,"Chicken, NS as to part, stewed, skin eaten"
24103020.0,"Chicken, NS as to part, stewed, skin not eaten"
24103050.0,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten"
24103055.0,"Chicken, NS as to part, grilled without sauce, skin eaten"
24103060.0,"Chicken, NS as to part, grilled without sauce, skin not eaten"
24103070.0,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten"
24103075.0,"Chicken, NS as to part, grilled with sauce, skin eaten"
24103080.0,"Chicken, NS as to part, grilled with sauce, skin not eaten"
24104049.0,"Chicken, NS as to part, sauteed, skin eaten"
24104051.0,"Chicken, NS as to part, sauteed, skin not eaten"
24107070.0,"Chicken, NS as to part, fried, coated, skin / coating eaten"
24107071.0,"Chicken, NS as to part, fried, coated, skin / coating not eaten"
24107080.0,"Chicken, NS as to part, baked, coated, skin / coating eaten"
24107081.0,"Chicken, NS as to part, baked, coated, skin / coating not eaten"
24120110.0,"Chicken breast, NS as to cooking method, skin eaten"
24120120.0,"Chicken breast, NS as to cooking method, skin not eaten"
24122130.0,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw"
24122131.0,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw"
24122140.0,"Chicken breast, baked or broiled, skin eaten, from pre-cooked"
24122141.0,"Chicken breast, baked or broiled, skin not eaten, from pre-cooked"
24122150.0,"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant"
24122151.0,"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant"
24122160.0,"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw"
24122161.0,"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw"
